Unnamed: 0,consumer_sentiment,federal_funds_rate,bbkmgdp,labor_force_participation_rate,m2,yield_10_year,mortgage_30_year,msci,savings_rate,sp500_monthly_open,sp500_monthly_high,sp500_monthly_low,close ,sp500_monthly_volume,sp500_pe_ratio,vehicle_sales,unemployment_rate,percent_change,Savings_Rate_Change_Percent,Propensity_Score,IPW
85,94.4,1.01,2.491889022145716,66.0,6121.9,4.08421052631579,5.635,145363.1580625618,4.6,1131.13,1158.98,1124.44,1144.94,27985600000.0,22.46,17.032,5.6,-0.2933126217873748,0.0,0.01,0.0031837916063675834
86,95.8,1.0,3.9954657824865407,66.0,6158.0,3.826521739130434,5.445,144398.5842288193,4.5,1144.94,1163.23,1087.16,1126.21,33597900000.0,21.61,17.247,5.8,-2.339904641278591,-0.021739130434782483,0.01,0.0031837916063675834
87,94.2,1.0,2.28014671065521,65.9,6199.1,4.347619047619048,5.83,141441.08925098053,4.9,1126.21,1150.57,1107.23,1107.3,31611900000.0,21.23,16.898,5.6,0.026401080353364303,0.08888888888888902,0.01,0.0031837916063675834
88,90.2,1.0,3.7943226236880303,66.0,6275.9,4.7155,6.27,142729.75989286054,4.8,1107.3,1127.74,1076.32,1120.68,29326400000.0,20.14,18.186,5.6,-1.7196455826562884,-0.020408163265306256,0.01,0.0031837916063675834
89,95.6,1.03,2.8858255317881416,66.1,6278.1,4.733809523809524,6.2875,145659.8322757565,5.4,1120.68,1146.34,1113.32,1140.84,27529500000.0,20.17,16.173,5.6,0.48873737933932926,0.12500000000000022,0.01,0.0031837916063675834
90,96.7,1.26,4.5282251801912174,66.1,6291.3,4.498095238095239,6.056,140904.05280443863,4.7,1140.84,1140.84,1078.78,1101.72,29285600000.0,19.51,17.309,5.5,-2.9061856677035003,-0.12962962962962965,0.01,0.0031837916063675834
91,95.9,1.43,3.7594821180303737,66.0,6317.9,4.281363636363637,5.8675,141523.3570358088,4.7,1101.72,1109.68,1060.72,1104.24,26586800000.0,19.03,17.157,5.4,-1.0667045104486914,0.0,0.01,0.0031837916063675834
92,94.2,1.61,3.302691299404212,65.8,6352.3,4.125714285714285,5.754,144200.63135741843,4.1,1104.24,1131.54,1099.18,1114.58,26829870000.0,19.35,17.875,5.4,3.0938106967775134,-0.12765957446808518,0.01,0.0031837916063675834
93,91.7,1.76,4.12429600211343,65.9,6379.9,4.097,5.7225,147729.28159178596,3.9,1114.58,1142.05,1090.29,1130.2,31511000000.0,19.25,17.514,5.5,0.4966240503531172,-0.04878048780487798,0.01,0.0031837916063675834
94,92.8,1.93,3.833127657803888,66.0,6406.5,4.194,5.73,155489.68464015814,3.4,1130.2,1188.46,1127.6,1173.82,30460280000.0,20.05,17.362,5.4,1.7539786846106398,-0.1282051282051282,0.01,0.0031837916063675834
95,97.1,2.16,6.146404539588232,65.9,6424.7,4.2309090909090905,5.752,161425.20965530435,6.2,1173.78,1217.33,1173.78,1211.92,31102500000.0,20.48,18.102,5.4,-0.15900558345848204,0.8235294117647061,0.99,3.215951117543014e-05
96,95.5,2.28,5.120132711056531,65.8,6431.0,4.2215,5.71,157790.82299671567,2.7,1211.92,1217.8,1163.75,1181.27,31498800000.0,19.99,16.889,5.3,-1.779171494042814,-0.564516129032258,0.01,0.0031837916063675834
97,94.1,2.5,3.786954094295405,65.9,6439.1,4.165263157894737,5.6275,162789.3243200153,2.3,1181.27,1212.44,1180.95,1203.6,29297410000.0,20.11,16.886,5.4,-1.747451507626832,-0.14814814814814825,0.01,0.0031837916063675834
98,92.6,2.63,0.6462098022019092,65.9,6448.4,4.497727272727273,5.928,159629.34855393643,2.5,1203.6,1229.11,1163.69,1180.59,39014150000.0,19.84,17.413,5.2,-2.011334659255562,0.0869565217391306,0.01,0.0031837916063675834
99,87.7,2.79,2.0250254853624075,66.1,6462.0,4.3409523809523805,5.855,156151.14313956822,2.1,1180.59,1191.88,1136.15,1156.85,43424270000.0,19.02,17.756,5.2,0.05183392658299213,-0.15999999999999992,0.01,0.0031837916063675834
100,86.9,3.0,1.3045669923603551,66.1,6479.2,4.144285714285713,5.72,158925.54446605657,2.6,1156.85,1199.56,1146.18,1191.5,39321990000.0,18.93,17.414,5.1,-2.4895139457039557,0.23809523809523814,0.01,0.0031837916063675834
101,96.0,3.04,3.937561148024101,66.1,6511.8,3.9981818181818176,5.582,160300.6919422212,2.0,1191.5,1219.59,1188.3,1191.33,40334040000.0,19.0,18.482,5.0,-1.0047635276086815,-0.23076923076923084,0.01,0.0031837916063675834
102,96.5,3.26,3.572208300090461,66.1,6543.7,4.1775,5.695,165900.25828258027,1.4,1191.33,1245.15,1183.55,1234.18,37464670000.0,19.0,21.135,5.0,-253.09479173297908,-0.30000000000000004,0.01,0.0031837916063675834
103,89.1,3.5,3.987873735897223,66.2,6576.5,4.262608695652173,5.82,167150.34597111066,2.0,1234.18,1245.86,1201.07,1220.33,42030090000.0,18.72,17.418,4.9,-1.3119985107955696,0.4285714285714286,0.99,3.215951117543014e-05
104,76.9,3.62,0.2340791504224282,66.1,6610.3,4.19904761904762,5.774,171491.85293836292,2.0,1220.33,1243.13,1205.35,1228.81,44777510000.0,18.44,16.927,5.0,-1.6192233082718577,0.0,0.01,0.0031837916063675834
105,74.2,3.78,1.0976962475395116,66.1,6644.1,4.4635,6.065,167331.27132425626,2.3,1228.81,1233.34,1168.2,1207.01,49793790000.0,17.64,15.336,5.0,-3.5530139759389505,0.1499999999999999,0.01,0.0031837916063675834
106,81.6,4.0,3.43752521858266,66.0,6660.8,4.535,6.33,172906.66751697965,2.6,1207.01,1270.64,1201.07,1249.48,45102870000.0,18.01,16.524,5.0,-2.983351258690729,0.1304347826086958,0.01,0.0031837916063675834
107,91.5,4.16,5.308579811825057,66.0,6688.0,4.467142857142857,6.272,176737.3489365773,2.5,1249.48,1275.8,1246.59,1248.29,41756130000.0,18.07,17.174,4.9,-1.0270673824704795,-0.03846153846153855,0.01,0.0031837916063675834
108,91.2,4.29,7.266760381978792,66.0,6730.3,4.416,6.145,184629.25289372148,3.0,1248.29,1294.9,1245.74,1280.08,49211650000.0,18.07,18.081,4.7,-27.73975255291826,0.19999999999999996,0.01,0.0031837916063675834
109,86.7,4.49,4.675416994809374,66.1,6754.9,4.568947368421052,6.2525,184354.38920952776,3.2,1280.08,1297.57,1253.61,1280.66,42859940000.0,17.8,17.071,4.8,-0.9822083656339529,0.06666666666666665,0.01,0.0031837916063675834
