,consumer_sentiment,federal_funds_rate,bbkmgdp,labor_force_participation_rate,m2,yield_10_year,mortgage_30_year,msci,savings_rate,sp500_monthly_open,sp500_monthly_high,sp500_monthly_low,close ,sp500_monthly_volume,sp500_pe_ratio,vehicle_sales,unemployment_rate,percent_change
247,96.8,1.16,3.3503107317063763,62.9,13688.0,2.2091304347826086,3.88,350491.5659577182,6.1,2477.1,2490.87,2417.35,2471.65,70784900000.0,23.16,17.051,4.4,0.05464923288669432
248,95.1,1.15,4.208082544623094,63.1,13733.8,2.202,3.805,358358.08807117125,5.9,2474.42,2519.44,2446.55,2519.36,66624120000.0,23.28,18.313,4.3,1.9302894827342154
249,100.7,1.15,5.179404973346002,62.7,13788.5,2.36,3.895,365130.5124198846,6.0,2521.2,2582.98,2520.4,2575.26,71088550000.0,23.67,18.482,4.2,2.2188174774546043
250,98.5,1.16,4.606002208791755,62.7,13814.7,2.353333333333333,3.922,373041.9948343484,5.6,2583.21,2657.74,2557.45,2647.58,73416960000.0,23.81,18.003,4.2,2.8082601368405458
251,95.9,1.3,3.832510334108127,62.7,13860.3,2.4025,3.95,378086.8594751442,5.0,2645.1,2694.97,2605.52,2673.61,65531700000.0,24.25,17.887,4.1,0.9831619818853499
252,95.7,1.41,2.5468160374354296,62.7,13869.2,2.583809523809524,4.0325,398049.87085870985,5.7,2683.73,2872.87,2682.36,2823.81,77318690000.0,24.97,17.176,4.0,5.617872464570373
253,99.7,1.42,3.773477037169508,63.0,13907.3,2.858947368421053,4.33,381559.707917477,5.8,2816.45,2835.96,2532.69,2713.83,79933970000.0,23.82,17.447,4.1,-3.8947379604151844
254,101.4,1.51,1.7013150929254874,62.9,13966.4,2.8423809523809522,4.444,373243.0726061031,5.9,2715.22,2801.9,2585.89,2640.87,76803890000.0,23.41,17.662,4.0,-2.6884513768364315
255,98.8,1.69,1.7842860358649235,62.9,13989.3,2.869047619047619,4.4675,377532.0302286279,6.0,2633.45,2717.49,2553.8,2648.05,70194700000.0,22.53,17.584,4.0,0.2718801001185378
256,98.0,1.7,1.757723458871606,62.9,14055.7,2.977727272727273,4.586,379897.8348904692,6.0,2642.96,2742.24,2594.62,2705.27,76011820000.0,22.49,17.829,3.8,2.160835331659139
257,98.2,1.82,3.0149088888021573,63.0,14117.5,2.9123809523809525,4.57,379716.59066994034,6.3,2718.7,2791.47,2691.99,2718.37,77891360000.0,22.49,17.743,4.0,0.4842400204046138
258,97.9,1.91,2.890244604840692,63.0,14157.0,2.889047619047619,4.5275,391576.48034182575,6.5,2704.95,2848.03,2698.95,2816.29,64898300000.0,22.33,17.629,3.8,3.6021586465418753
259,96.2,1.91,2.6376508365535445,62.6,14206.0,2.889130434782609,4.55,396421.415133446,6.6,2821.17,2916.5,2796.34,2901.52,69523070000.0,22.37,17.564,3.8,3.0263218631604083
260,100.1,1.95,0.6536801294461214,62.8,14238.2,3.004210526315789,4.6275,398628.7427059086,6.8,2896.96,2940.91,2864.12,2913.98,63031510000.0,22.25,17.776,3.7,0.42943009181395375
261,98.6,2.19,-0.5734166865640682,62.9,14248.1,3.152272727272728,4.83,369358.3112783393,6.7,2926.29,2939.86,2603.54,2711.74,91930980000.0,21.25,17.991,3.8,-6.940335897981464
262,97.5,2.2,0.4402287168421597,62.9,14258.7,3.117,4.866,373554.1596250119,6.5,2717.58,2815.15,2631.09,2760.17,80620020000.0,20.67,18.061,3.8,1.785938179914015
263,98.3,2.27,1.9868079776368208,63.0,14369.9,2.8326315789473684,4.6375,345149.8357832977,8.4,2790.5,2800.18,2346.58,2506.85,84162180000.0,19.39,18.077,3.9,-9.177695576721733
264,91.2,2.4,3.0232847624193804,63.1,14432.7,2.713809523809524,4.464,372004.52791683935,8.4,2476.96,2708.95,2443.96,2704.1,80859870000.0,19.6,16.97,4.0,7.868440473103688
265,93.8,2.4,2.8644333372495057,63.1,14470.5,2.676315789473684,4.37,383190.6508083288,8.5,2702.32,2813.49,2681.83,2784.49,70638770000.0,20.6,16.962,3.8,2.972893014311606
266,98.4,2.41,3.181183008001156,63.0,14513.9,2.570952380952381,4.265,388223.65358247503,7.9,2798.22,2860.31,2722.27,2834.4,79159660000.0,20.86,17.842,3.8,1.792428775107835
267,97.2,2.42,2.382815085795187,62.8,14548.1,2.5323809523809526,4.1425,401989.7962437422,7.6,2848.63,2949.52,2848.63,2945.83,70090370000.0,21.56,16.968,3.7,3.9313434942139347
268,100.0,2.39,4.242226139640673,62.9,14660.8,2.395,4.072,378794.617518574,7.3,2952.33,2954.13,2750.52,2752.06,77250740000.0,21.15,17.967,3.6,-6.577772648116154
269,98.2,2.38,5.092296212051501,63.0,14782.9,2.074,3.8025,403755.23739676666,7.1,2751.53,2964.15,2728.81,2941.76,71250630000.0,21.37,17.781,3.6,6.893018320821498
270,98.4,2.4,5.155460629320809,63.1,14865.4,2.0590909090909086,3.765,405755.1736232901,6.8,2971.41,3027.98,2952.22,2980.38,70599470000.0,22.28,17.682,3.7,1.3128195366039375
271,89.8,2.13,5.068773797250393,63.1,14947.6,1.6263636363636365,3.616,397455.6296036478,6.9,2980.32,3013.59,2822.12,2926.46,80269220000.0,21.67,17.882,3.6,-1.809165274226776
272,93.2,2.04,1.8366530179362983,63.2,15039.5,1.6995,3.605,405913.905806575,7.0,2909.01,3021.99,2891.85,2976.74,74178980000.0,22.44,17.72,3.5,1.7181167690656807
273,95.5,1.83,1.015905971900016,63.3,15174.6,1.7068181818181818,3.688,416243.3595867479,7.1,2983.69,3050.1,2855.94,3037.56,77720640000.0,22.04,17.049,3.6,2.0431747482144935
274,96.8,1.55,3.8393690613655815,63.3,15273.3,1.8121052631578949,3.695,427835.8470712031,6.9,3050.72,3154.26,3050.72,3140.98,72410620000.0,22.62,17.549,3.6,3.404706409091518
275,99.3,1.55,4.991319106808264,63.3,15334.3,1.8628571428571428,3.72,440653.04040049744,6.2,3143.85,3247.93,3070.33,3230.78,72325540000.0,22.78,17.491,3.6,2.8589803182446305
276,99.8,1.55,1.5285287928296718,63.3,15401.3,1.7576190476190476,3.624,437970.9192946653,7.0,3244.67,3337.77,3214.64,3225.52,77287980000.0,24.88,16.893,3.6,-0.1628089811129274
277,101.0,1.58,-12.311295480704937,63.3,15453.8,1.5042105263157897,3.465,400951.3089506074,7.5,3235.66,3393.52,2855.84,2954.22,84436590000.0,26.42,17.088,3.5,-8.411046900964813
278,89.1,0.65,-44.263532915592485,62.6,15980.6,0.87,3.45,347888.332642454,12.4,2974.28,3136.72,2191.86,2584.59,162185380000.0,22.8,11.836,4.4,-12.511932083595656
279,71.8,0.05,-71.16976439133732,60.1,16999.0,0.6576190476190475,3.306,385893.11565319984,32.0,2498.08,2954.86,2447.49,2912.43,123608160000.0,24.97,8.944,14.8,12.684410293315374
280,72.3,0.05,-8.079405484422338,60.8,17868.4,0.674,3.2325,404534.93192181375,22.8,2869.09,3068.67,2766.64,3044.31,107135190000.0,27.82,12.508,13.2,4.528177501261843
281,78.1,0.08,33.89654120919739,61.5,18161.5,0.7286363636363636,3.1625,415235.2922419566,18.4,3038.78,3233.13,2965.66,3100.29,131458880000.0,31.29,13.47,11.0,1.8388403283502663
282,72.5,0.09,45.51200085351839,61.5,18311.4,0.6236363636363637,3.016,435100.7302063072,17.8,3105.92,3279.99,3101.17,3271.12,96928130000.0,32.44,15.225,10.2,5.51012969754443
283,74.1,0.1,32.38730639399877,61.7,18382.2,0.65,2.935,464171.678199037,13.9,3288.26,3514.77,3284.53,3500.31,82466520000.0,34.41,15.932,8.4,7.006468732421922
284,80.4,0.09,10.376276245327103,61.5,18606.8,0.6795238095238095,2.89,448158.15822199546,13.1,3507.44,3588.11,3209.45,3363.0,92310780000.0,34.27,16.739,7.8,-3.92279540954944
285,81.8,0.09,-3.086570293808381,61.7,18758.1,0.7871428571428571,2.834,434410.8925098052,12.6,3385.87,3549.85,3233.94,3269.96,89938980000.0,35.3,16.613,6.8,-2.76657746060065
286,76.9,0.09,-4.367161712184871,61.5,18972.9,0.87,2.765,489955.3585663723,11.8,3296.2,3645.99,3279.74,3621.63,101247180000.0,37.16,16.352,6.7,10.754565805086314
287,80.7,0.09,3.694353237599705,61.5,19109.9,0.9336363636363636,2.684,510727.8466885622,11.8,3645.87,3760.2,3633.4,3756.07,96375680000.0,39.26,16.972,6.7,3.712140665943231
288,79.0,0.09,8.872903166357613,61.3,19334.6,1.0810526315789475,2.735,505651.92436465673,19.2,3764.61,3870.9,3662.71,3714.24,106117800000.0,35.96,16.697,6.4,-1.1136640158463607
289,76.8,0.08,3.840355128884296,61.4,19570.8,1.2578947368421052,2.81,518608.90915468254,12.6,3731.17,3950.43,3725.62,3811.15,99082320000.0,33.24,16.124,6.2,2.6091474971999817
290,84.9,0.07,12.028004865159826,61.5,19809.6,1.6108695652173912,3.0825,535864.0987213418,25.9,3842.51,3994.41,3723.34,3972.89,122371150000.0,30.5,18.496,6.1,4.243863400810777
291,88.3,0.07,6.091934996793144,61.6,20135.3,1.635,3.06,560803.2907113931,12.0,3992.78,4218.78,3992.78,4181.17,83124090000.0,29.92,18.697,6.1,5.242531255584737
292,82.9,0.06,3.624762682636295,61.5,20439.5,1.621,2.9625,568881.9234080545,9.6,4191.98,4238.04,4056.88,4204.11,88321860000.0,28.05,17.466,5.8,0.5486502581813157
293,85.5,0.08,2.6563715676696096,61.7,20482.4,1.5190909090909093,2.975,577360.989764357,8.4,4216.52,4302.43,4164.4,4297.5,102544180000.0,26.7,15.903,5.9,2.221397632316946
294,81.2,0.1,2.610175131148371,61.8,20633.4,1.3185714285714285,2.868,587703.198239852,9.2,4300.73,4429.97,4233.13,4395.26,84255620000.0,26.56,15.207,5.4,2.274810936591054
295,70.3,0.09,3.5475009781602598,61.8,20844.4,1.2831818181818182,2.8425,602330.1552884155,8.4,4406.86,4537.36,4367.73,4522.68,80500760000.0,26.23,13.765,5.1,2.8990321391681118
296,72.8,0.08,6.706698291828589,61.7,20973.8,1.3747619047619049,2.9,577321.0675679985,7.2,4528.8,4545.85,4305.91,4307.54,85528860000.0,25.35,12.722,4.7,-4.756914042116634
297,71.7,0.08,10.65168918525439,61.8,21153.7,1.5825,3.0675,610020.8539268518,6.6,4317.16,4608.08,4278.94,4605.38,80253600000.0,24.39,13.181,4.5,6.9143873301234615
298,67.4,0.08,7.587481310709672,61.9,21327.6,1.5595,3.0675,596653.4868148337,6.1,4610.62,4743.83,4560.0,4567.0,88268840000.0,24.52,13.484,4.1,-0.8333731418471491
